anio_censo,sector,personas_ocupadas
2022,agricultura pesca,2145797
2022,transporte almacenamiento,1000005
2022,minas canteras,994221
2022,comercio,678415
2022,alojamiento comidas,674100
2022,informacion comunicacion,629350
2022,industrias manufactureras,617353
2022,ensenanza,611973
2022,salud asistencia,604738
2022,no clasificado,583524
2022,arte entretenimiento,536246
2022,electricidad gas,493239
2022,financieras seguros,428707
2022,otros servicios,424654
2022,hogares empleadores,423412
2022,administracion publica,416895
2022,organizaciones extraterritoriales,373069
2022,inmobiliarias,369410
2022,agua saneamiento,335990
2022,servicios administrativos,325000
2022,construccion,303443
2022,profesionales cientificas,218967
