provincia_normalizada,total_empresas,empresas_activas
AZUAY,11884,9976
BOLIVAR,565,511
CAA‘AR,1189,1089
CARCHI,683,612
CHIMBORAZO,2491,2149
COTOPAXI,2474,2227
EL ORO,7462,6172
ESMERALDAS,1900,1405
GALAPAGOS,1583,1386
GUAYAS,83947,65830
IMBABURA,2859,2509
LOJA,3080,2618
LOS RIOS,3783,3007
MANABI,9757,7814
MORONA SANTIAGO,1241,1064
NAPO,796,708
ORELLANA,1690,1492
PASTAZA,744,659
PICHINCHA,68479,57965
SANTA ELENA,2647,2150
SANTO DOMINGO DE LOS TSACHILAS,3242,2778
SUCUMBIOS,1749,1412
TUNGURAHUA,4060,3695
ZAMORA CHINCHIPE,1472,1330
