anio_fiscal,pib_real_millones,poblacion_total,pib_pc_real_usd,tasa_variacion_anual,pib_pc_nominal_usd,clasificacion
1965,11913.499366873479,5333856,2233.5622421890425,,438.52568745504146,Sin información
1966,12163.19031623626,5489552,2215.698169219685,-0.7998018874033952,444.94930948113927,Contracción
1967,12636.436990391485,5649957,2236.5545419888126,0.9413002663838821,448.79174209589803,Crecimiento moderado
1968,12927.387326442613,5814989,2223.1146656412616,-0.6009187835678609,439.57587673614546,Contracción
1969,13614.093419796764,5984485,2274.8980772442014,2.329318069070574,526.9822698455788,Crecimiento fuerte
1970,14578.555757694388,6158194,2367.3427238074,4.06368300575406,454.45107551307007,Crecimiento fuerte
1971,15170.138681057872,6335826,2394.342692027507,1.1405179296001045,424.56754728596735,Crecimiento moderado
1972,16542.37903364583,6517052,2538.322393874689,6.013328932679296,474.3356359958058,Crecimiento fuerte
1973,17842.23270201036,6701476,2662.4332761932383,4.889484591005666,581.980774745973,Crecimiento fuerte
1974,20056.515647489898,6888846,2911.4478168752644,9.3528931939308,939.308358812425,Crecimiento fuerte
1975,22607.181463662462,7079340,3193.4024165617784,9.684343234738924,1088.8219400814821,Crecimiento fuerte
1976,23999.687397751506,7273086,3299.794254839212,3.3316138838518805,1243.5725654126577,Crecimiento fuerte
1977,24454.865904798196,7469958,3273.762169050776,-0.7889002700777414,1479.9579604507514,Contracción
1978,25713.21302363802,7669741,3352.552977165464,2.4067358606423728,1539.3546865688468,Crecimiento fuerte
1979,26768.759939445965,7872290,3400.377773106169,1.4265187236844223,1824.30856831781,Crecimiento moderado
1980,27604.70401970091,8077675,3417.4071152529546,0.5008073597431384,2259.7822105727646,Crecimiento moderado
1981,30303.882113792966,8286189,3657.155552907732,7.0155070662990315,2668.953535609788,Crecimiento fuerte
1982,30804.65672258467,8498305,3624.8000892630557,-0.8847166377418891,2360.4485916479566,Contracción
1983,31022.134537214468,8715248,3559.52401322538,-1.800818650138214,1980.040940743349,Contracción
1984,31929.89989960457,8937841,3572.43991022044,0.3628546105342023,1895.665235097506,Crecimiento moderado
1985,33464.01965354519,9165196,3651.2061120728013,2.204829299634059,1888.0303470852737,Crecimiento fuerte
1986,34617.438690263756,9395641,3684.4147930155864,0.9095263297511424,1594.5400181807918,Crecimiento moderado
1987,35925.60920732987,9628100,3731.329048029193,1.273316324278695,1393.807985076856,Crecimiento moderado
1988,37000.520835600684,9861959,3751.842898109867,0.5497732796175825,1242.3086721889108,Crecimiento moderado
1989,38074.78352131346,10097190,3770.8296586786482,0.5060649148808105,1311.9862036417953,Crecimiento moderado
1990,40557.04351532084,10333865,3924.673248133282,4.079833972360936,1446.644447658411,Crecimiento fuerte
1991,42306.979641947466,10569075,4002.9027745519325,1.9932748912500964,1555.2586860657302,Crecimiento moderado
1992,43011.27209541101,10796270,3983.901115423291,-0.47469699362779894,1610.7887584016057,Contracción
1993,44109.79031779038,11014242,4004.7958196115887,0.5244784843530859,1664.634305591135,Crecimiento moderado
1994,45814.24344609402,11228134,4080.3078629177403,1.8855404047409152,1969.8419408669508,Crecimiento moderado
1995,46706.9759664727,11440937,4082.443244506346,0.05233383510132583,2088.8259580509625,Crecimiento moderado
1996,49017.33285732826,11653346,4206.28829327888,3.033601237180439,2127.88117111183,Crecimiento fuerte
1997,50237.58855090011,11864682,4234.2128133649185,0.6638755629436721,2322.255664962275,Crecimiento moderado
1998,51941.057071329655,12074210,4301.818261511905,1.5966473846944051,2252.0978986258197,Crecimiento moderado
1999,49665.731060844955,12281694,4043.8827950643417,-5.995963817330341,1548.9191753157393,Contracción
2000,52158.03995407137,12480574,4179.13791097039,3.344684372928186,1404.6376939035174,Crecimiento fuerte
2001,54351.94923581134,12681367,4285.969267809325,2.556301302201547,1823.7036333819474,Crecimiento fuerte
2002,57030.465666536766,12900668,4420.737411933767,3.1444029507315063,2097.1160261167047,Crecimiento fuerte
2003,58675.51004391423,13131753,4468.2160899549535,1.0739990548413347,2358.040677348852,Crecimiento moderado
2004,62684.45382679273,13366595,4689.635155908646,4.9554243012433385,2633.052588799432,Crecimiento fuerte
2005,66068.55003440834,13604351,4856.427920332866,3.5566255983489725,2960.7329487793377,Crecimiento fuerte
2006,68936.67386784051,13852369,4976.525955079634,2.472970601374347,3298.407823865469,Crecimiento fuerte
2007,70248.1450951015,14106786,4979.741317058436,0.06461057387876501,3533.6699843684396,Crecimiento moderado
2008,74859.88108349172,14359090,5213.414017426712,4.692466646165228,4257.89079130019,Crecimiento fuerte
2009,75676.61145473529,14616393,5177.516193956696,-0.6885665199430124,4111.4779095674685,Contracción
2010,78725.72614351373,14883661,5289.40602339127,2.161071549426996,4578.935871139146,Crecimiento fuerte
2011,85402.83055997187,15160587,5633.213975156231,6.499934968965215,5209.999311979141,Crecimiento fuerte
2012,90341.85725994881,15440550,5850.948137206823,3.865185363290835,5682.119337763971,Crecimiento fuerte
2013,96856.62183455059,15717514,6162.337239499237,5.322028071181428,6144.122711401345,Crecimiento fuerte
2014,100949.8461118007,15994366,6311.587849859175,2.421980566127968,6422.123475284908,Crecimiento fuerte
2015,101070.67466662866,16269171,6212.404717279612,-1.571445014138173,5975.077470255839,Contracción
2016,100375.35400413565,16532265,6071.48228050637,-2.2684039946925805,5907.928082851748,Contracción
2017,106368.16411547796,16792803,6334.151845613741,4.3262839776494255,6220.967739222147,Crecimiento fuerte
2018,107478.96100000001,17077883,6293.459265413636,-0.6424313971614914,6293.459265413635,Contracción
2019,107656.73599999999,17356880,6202.53962693756,-1.4446687368857902,6199.03058614221,Contracción
2020,97703.76718170314,17526455,5574.645139687583,-10.123183808823056,5469.7583167845405,Contracción
2021,106909.31128696745,17614396,6069.4281703992265,8.875596891165882,6084.74307038402,Crecimiento fuerte
2022,113183.20246843527,17715301,6389.008149984878,5.2654050861702615,6555.526265119627,Crecimiento fuerte
2023,115257.67016371188,17834831,6462.504195510004,1.1503514129231451,6772.859299872255,Crecimiento moderado
2024,113016.95709955737,17966573,6290.4014638494145,-2.663096633347839,6890.706090694091,Contracción
